NUMT,NUMTRIALS,Probability,MaxPerformance
 1 ,        1 ,   0.00 ,   0.84
 1 ,      100 ,  26.00 ,  14.46
 1 ,     1000 ,  23.50 ,  11.49
 1 ,    10000 ,  22.96 ,  15.73
 1 ,   100000 ,  23.21 ,  22.83
 1 ,   500000 ,  23.28 ,  22.93
 1 ,  1000000 ,  23.19 ,  22.99
 2 ,        1 ,   0.00 ,   0.25
 2 ,      100 ,  26.00 ,   8.39
 2 ,     1000 ,  23.50 ,  20.07
 2 ,    10000 ,  22.96 ,  28.17
 2 ,   100000 ,  23.21 ,  43.10
 2 ,   500000 ,  23.28 ,  43.62
 2 ,  1000000 ,  23.19 ,  43.63
 4 ,        1 ,   0.00 ,   0.07
 4 ,      100 ,  26.00 ,   6.26
 4 ,     1000 ,  23.50 ,  43.24
 4 ,    10000 ,  22.96 ,  49.29
 4 ,   100000 ,  23.21 ,  77.51
 4 ,   500000 ,  23.28 ,  83.51
 4 ,  1000000 ,  23.19 ,  83.64
 6 ,        1 ,   0.00 ,   0.03
 6 ,      100 ,  26.00 ,   2.57
 6 ,     1000 ,  23.50 ,  14.93
 6 ,    10000 ,  22.96 ,  51.85
 6 ,   100000 ,  23.21 ,  79.88
 6 ,   500000 ,  23.28 ,  87.61
 6 ,  1000000 ,  23.19 ,  88.25
 8 ,        1 ,   0.00 ,   0.01
 8 ,      100 ,  26.00 ,   1.89
 8 ,     1000 ,  23.50 ,  11.49
 8 ,    10000 ,  22.96 ,  53.50
 8 ,   100000 ,  23.21 , 101.51
 8 ,   500000 ,  23.28 , 114.86
 8 ,  1000000 ,  23.19 , 115.19
