Month,Year,Temp(°C),Precip(cm),Deer,Grain(cm),Pests
0,2025,3.39,19.25,3,30.05,11
1,2025,7.05,28.12,4,40.24,14
2,2025,10.28,35.01,5,28.92,16
3,2025,18.34,33.85,6,4.08,13
4,2025,20.81,26.17,5,0.00,8
5,2025,26.67,23.69,4,0.00,0
6,2025,26.67,13.73,3,0.00,0
7,2025,25.26,5.41,2,0.00,0
8,2025,19.74,1.10,1,0.00,0
9,2025,13.78,2.33,0,0.00,0
10,2025,8.47,9.08,0,12.93,0
11,2025,3.68,12.64,1,38.11,3
0,2026,4.14,21.94,2,65.60,6
1,2026,4.97,31.09,3,87.06,8
2,2026,9.97,34.24,4,84.21,11
3,2026,20.39,32.33,5,65.68,8
4,2026,20.93,30.98,6,46.89,4
5,2026,24.60,23.54,7,28.60,0
6,2026,24.31,15.36,8,10.82,0
7,2026,24.69,9.47,7,0.00,0
8,2026,16.67,3.06,6,0.00,0
9,2026,12.51,5.45,5,0.00,0
10,2026,7.43,4.95,4,0.25,0
11,2026,7.46,13.28,3,9.69,0
0,2027,5.83,19.32,3,31.37,2
1,2027,6.21,28.40,4,51.68,4
2,2027,10.45,32.07,5,48.07,6
3,2027,20.08,31.57,6,30.80,2
4,2027,24.96,30.23,7,14.04,0
5,2027,26.22,21.06,6,0.00,0
6,2027,26.67,11.42,5,0.00,0
7,2027,25.14,6.27,4,0.00,0
8,2027,20.13,1.92,3,0.00,0
9,2027,14.68,5.35,2,0.00,0
10,2027,9.24,7.92,1,4.68,0
11,2027,6.69,16.18,1,26.74,4
0,2028,5.96,19.56,2,50.21,8
1,2028,7.90,30.88,3,60.43,12
2,2028,12.22,32.09,4,48.00,15
3,2028,17.77,34.21,5,26.50,13
4,2028,21.97,29.71,6,3.90,8
5,2028,25.91,19.78,5,0.00,2
6,2028,24.75,12.87,4,0.00,0
7,2028,21.99,6.38,3,0.00,0
8,2028,20.14,2.12,2,0.00,0
9,2028,14.21,1.96,1,0.00,0
10,2028,10.46,7.68,0,3.75,0
11,2028,5.38,13.88,1,29.88,5
0,2029,6.68,20.20,2,50.46,9
1,2029,5.12,29.72,3,70.13,11
2,2029,11.00,31.45,4,61.87,14
3,2029,19.93,31.05,5,41.06,11
4,2029,22.35,26.32,6,19.98,6
5,2029,26.61,21.30,7,0.17,0
6,2029,24.15,14.78,6,0.00,0
7,2029,25.97,9.00,5,0.00,0
8,2029,16.41,5.59,4,0.00,0
9,2029,10.06,1.27,3,0.00,0
10,2029,7.83,7.72,2,6.42,0
11,2029,7.54,14.23,2,21.29,4
0,2030,5.83,22.61,3,43.83,7
1,2030,6.93,30.66,4,56.76,10
2,2030,12.85,34.62,5,41.92,12
3,2030,17.23,31.02,6,20.23,10
4,2030,23.26,30.11,7,0.00,4
5,2030,24.41,21.80,6,0.00,0
6,2030,26.67,11.62,5,0.00,0
7,2030,23.30,4.68,4,0.00,0
8,2030,20.67,2.02,3,0.00,0
9,2030,13.71,0.85,2,0.00,0
10,2030,9.48,5.70,1,2.87,0
11,2030,3.77,13.80,1,26.73,3
