NUMT	NUMCITIES	NUMCAPITALS	megaCityCapitalsPerSecond
1	331	2	103.864
1	331	3	114.108
1	331	4	134.679
1	331	5	140.423
1	331	10	162.313
1	331	15	177.736
1	331	20	190.007
1	331	30	203.069
1	331	40	226.079
1	331	50	237.103
2	331	2	49.790
2	331	3	68.956
2	331	4	98.812
2	331	5	110.593
2	331	10	165.014
2	331	15	202.641
2	331	20	241.306
2	331	30	272.753
2	331	40	317.329
2	331	50	343.869
4	331	2	37.387
4	331	3	52.258
4	331	4	68.842
4	331	5	82.344
4	331	10	130.973
4	331	15	205.507
4	331	20	252.574
4	331	30	327.690
4	331	40	387.437
4	331	50	503.013
6	331	2	24.492
6	331	3	34.882
6	331	4	45.333
6	331	5	56.666
6	331	10	89.071
6	331	15	141.601
6	331	20	147.772
6	331	30	210.068
6	331	40	251.241
6	331	50	295.177
8	331	2	19.716
8	331	3	29.581
8	331	4	35.177
8	331	5	42.155
8	331	10	81.650
8	331	15	107.770
8	331	20	133.002
8	331	30	184.671
8	331	40	236.008
8	331	50	296.775
